"Name","Council District","NID"
"Margaret S Chin",1,122
"Alan J Gerson",1,
"Peter J Gleason",1,
"Arthur Gregory ",1,
"PJ Kim",1,
"Dodge P Landesman",2,
"Rosie Mendez",2,
"Juan Pagan",2,
"Jim Fouratt",3,
"Yetta G Kurland ",3,
"Maria Passannante-Derr",3,
"Christine C Quinn",3,
"Ashkok Chandra",4,
"Neal D'Alessio",4,
"Daniel R Garodnick",4,
"Stephen F Kaufman",5,
"Jessica S Lappin",5,135
"Gale A Brewer",6,
"Joseph J Selch",6,
"Victor A Bernace",7,
"Juan A Erazo",7,
"Robert Jackson",7,
"Felix E Jerez",7,
"Manuel Lantigua",7,
"Fred  Masson",7,
"Monique Washington",7,
"Edward L Gibbs",8,
"Gwen E Goodwin",8,
"Melissa Mark Viverito",8,
"Robert J Rodriguez",8,
"Calvin C Solomon",8,
"Francisco Spies",8,
"Evette Zayas",8,
"Carlton Berkley",9,
"Landon C Dais",9,
"Inez E Dickens",9,
"Francesca M Castellanos",10,
"Luis A Facundo",10,
"Guillermo Linares",10,
"Richard  Realmuto",10,
"Ydanis A Rodriguez",10,
"Cleofis Sarete",10,
"Francisco A  Spies",10,
"Ruben Dario Vargas",10,
"Manny C Velazquez",10,
"Anthony P Cassino",11,
"G. Oliver Koppell",11,
"Andy L King ",12,
"Herbert Moreira-Brown",12,
"Jerome L  Rice",12,
"Shirley J Saunders",12,
"Larry B Seabrook",12,
"Krystal Serrano",12,
"Sebastian D  Ulanga",12,
"Irene Estrada Rukaj",13,
"James Vacca",13,
"Maria Baez",14,
"Arthur L Burton III",14,
"Fernando Cabrera ",14,
"Yesenia Polanco",14,
"Hector R Ramirez",14,
"Yudelka Tapia",14,
"Jose A Padilla, Jr.",15,
"Joel  Rivera",15,
"Oscar F Zorrilla",15,
"Mark Escoffery-Bey",16,
"Helen Diane Foster",16,
"Daryl Johnson",16,
"Carlos Sierra",16,
"Maria Arroyo",17,
"Israel Martinez",17,
"Robert Rosado",17,
"Walter G  Nestler",18,
"Annabel Palma",18,
"Steven Anthony Behar",19,
"Thomas E Cooke",19,
"Daniel J Halloran",19,
"Jerry M Iannece",19,
"Kevin D Kim",19,
"Debra Markell",19,
"Paul A Vallone ",19,
"John Choe",20,
"Evergreen C Chou",20,
"Yen Chou",20,
"S.J. Jung",20,
"Constantine E Kavadas",20,
"Peter A Koo",20,
"Isaac M  Sasson",20,
"James M Wu",20,
"Julissa Ferreras",21,
"Jose Eduardo Giraldo",21,
"Jerry F Kann",22,
"Lynne Serpe",22,
"Peter F Vallone, Jr.",22,
"Robert Friedrich",23,124
"Swaranjit Singh",23,
"Mark S Weprin",23,
"James F Gennaro",24,
"Daniel P Dromm",25,
"Stanley J Kalathara",25,
"Charles E Martellaro",25,
