"Last Name","First Name","fullname","Council District","NID"
"Chin","Margaret S","Margaret S Chin",1,122
"Gerson","Alan J","Alan J Gerson",1,
"Gleason","Peter J","Peter J Gleason",1,
"Gregory ","Arthur","Arthur Gregory ",1,295
"Kim","PJ","PJ Kim",1,300
"Landesman","Dodge P","Dodge P Landesman",2,
"Mendez","Rosie","Rosie Mendez",2,284
"Pagan","Juan","Juan Pagan",2,
"Fouratt","Jim","Jim Fouratt",3,
"Kurland ","Yetta G","Yetta G Kurland ",3,248
"Passannante-Derr","Maria","Maria Passannante-Derr",3,
"Quinn","Christine C","Christine C Quinn",3,247
"Chandra","Ashkok","Ashkok Chandra",4,
"D'Alessio","Neal","Neal D'Alessio",4,
"Garodnick","Daniel R","Daniel R Garodnick",4,238
"Kaufman","Stephen F","Stephen F Kaufman",5,
"Lappin","Jessica S","Jessica S Lappin",5,135
"Brewer","Gale A","Gale A Brewer",6,245
"Selch","Joseph J","Joseph J Selch",6,
"Bernace","Victor A","Victor A Bernace",7,
"Erazo","Juan A","Juan A Erazo",7,
"Jackson","Robert","Robert Jackson",7,
"Jerez","Felix E","Felix E Jerez",7,
"Lantigua","Manuel","Manuel Lantigua",7,
"Masson","Fred ","Fred  Masson",7,
"Washington","Monique","Monique Washington",7,
"Gibbs","Edward L","Edward L Gibbs",8,
"Goodwin","Gwen E","Gwen E Goodwin",8,
"Mark Viverito","Melissa","Melissa Mark Viverito",8,229
"Rodriguez","Robert J","Robert J Rodriguez",8,
"Solomon","Calvin C","Calvin C Solomon",8,
"Spies","Francisco","Francisco Spies",8,
"Zayas","Evette","Evette Zayas",8,
"Berkley","Carlton","Carlton Berkley",9,
"Dais","Landon C","Landon C Dais",9,
"Dickens","Inez E","Inez E Dickens",9,172
"Castellanos","Francesca M","Francesca M Castellanos",10,
"Facundo","Luis A","Luis A Facundo",10,
"Linares","Guillermo","Guillermo Linares",10,
"Realmuto","Richard ","Richard  Realmuto",10,
"Rodriguez","Ydanis A","Ydanis A Rodriguez",10,
"Sarete","Cleofis","Cleofis Sarete",10,
"Spies","Francisco A ","Francisco A  Spies",10,
"Vargas","Ruben Dario","Ruben Dario Vargas",10,
"Velazquez","Manny C","Manny C Velazquez",10,
"Cassino","Anthony P","Anthony P Cassino",11,
"Koppell","G. Oliver","G. Oliver Koppell",11,215
"King ","Andy L","Andy L King ",12,
"Moreira-Brown","Herbert","Herbert Moreira-Brown",12,
"Rice","Jerome L ","Jerome L  Rice",12,183
"Saunders","Shirley J","Shirley J Saunders",12,
"Seabrook","Larry B","Larry B Seabrook",12,
"Serrano","Krystal","Krystal Serrano",12,
"Ulanga","Sebastian D ","Sebastian D  Ulanga",12,
"Estrada Rukaj","Irene","Irene Estrada Rukaj",13,
"Vacca","James","James Vacca",13,
"Baez","Maria","Maria Baez",14,
"Burton III","Arthur L","Arthur L Burton III",14,
"Cabrera ","Fernando","Fernando Cabrera ",14,
"Polanco","Yesenia","Yesenia Polanco",14,
"Ramirez","Hector R","Hector R Ramirez",14,
"Tapia","Yudelka","Yudelka Tapia",14,
"Padilla, Jr.","Jose A","Jose A Padilla, Jr.",15,
"Rivera","Joel ","Joel  Rivera",15,
"Zorrilla","Oscar F","Oscar F Zorrilla",15,
"Escoffery-Bey","Mark","Mark Escoffery-Bey",16,
"Foster","Helen Diane","Helen Diane Foster",16,
"Johnson","Daryl","Daryl Johnson",16,
"Sierra","Carlos","Carlos Sierra",16,294
"Arroyo","Maria","Maria Arroyo",17,
"Martinez","Israel","Israel Martinez",17,
"Rosado","Robert","Robert Rosado",17,
"Nestler","Walter G ","Walter G  Nestler",18,235
"Palma","Annabel","Annabel Palma",18,
"Behar","Steven Anthony","Steven Anthony Behar",19,
"Cooke","Thomas E","Thomas E Cooke",19,302
"Halloran","Daniel J","Daniel J Halloran",19,
"Iannece","Jerry M","Jerry M Iannece",19,
"Kim","Kevin D","Kevin D Kim",19,256
"Markell","Debra","Debra Markell",19,
"Vallone ","Paul A","Paul A Vallone ",19,201
"Choe","John","John Choe",20,171
"Chou","Evergreen C","Evergreen C Chou",20,254
"Chou","Yen","Yen Chou",20,
"Jung","S.J.","S.J. Jung",20,279
"Kavadas","Constantine E","Constantine E Kavadas",20,
"Koo","Peter A","Peter A Koo",20,
"Sasson","Isaac M ","Isaac M  Sasson",20,
"Wu","James M","James M Wu",20,
"Ferreras","Julissa","Julissa Ferreras",21,
"Giraldo","Jose Eduardo","Jose Eduardo Giraldo",21,
"Kann","Jerry F","Jerry F Kann",22,264
"Serpe","Lynne","Lynne Serpe",22,292
"Vallone, Jr.","Peter F","Peter F Vallone, Jr.",22,
"Friedrich","Robert","Robert Friedrich",23,125
"Singh","Swaranjit","Swaranjit Singh",23,
"Weprin","Mark S","Mark S Weprin",23,
"Gennaro","James F","James F Gennaro",24,
"Dromm","Daniel P","Daniel P Dromm",25,289
