"fullname","Council District","Borough","NID","drupal"
"Gene R Berardelli",46,"Brooklyn",119,
"Simon L Belsky",48,"Brooklyn",120,
"Letitia James",35,"Brooklyn",121,
"Margaret S Chin",1,"Manhattan",122,
"Robert Friedrich",23,"Queens",124,
"Vincent J Gentile",43,"Brooklyn",126,
"Edward Rosado",37,"Brooklyn",128,
"Isaac Abraham",33,"Brooklyn",131,
"Jessica S Lappin",5,"Manhattan",135,
"G. Oliver Koppell",11,"Bronx",137,
"Daniel P Dromm",25,"Queens",138,
"Stephen F Kaufman",5,"Manhattan",139,
"Christine C Quinn",3,"Manhattan",140,
"Heidi H Chain",29,"Queens",141,
"Derek I Sacerdote",46,"Brooklyn",142,
"John Choe",20,"Queens",143,
"Kenneth A Diamondstone",33,"Brooklyn",145,
"Jo Anne Simon",33,"Brooklyn",148,
"James G Van Bramer",26,"Queens",149,
"Mark S Weprin",23,"Queens",152,
"Maritza Davila",34,"Brooklyn",153,
"Daniel R Garodnick",4,"Manhattan",164,
"Jerry M Iannece",19,"Queens",165,
"Rosie Mendez",2,"Manhattan",170,
"Inez E Dickens",9,"Manhattan",172,
"Ashkok Chandra",4,"Manhattan",173,
"Jerome L  Rice",12,"Bronx",179,
"Thomas E Cooke",19,"Queens",182,
"Peter F Vallone, Jr.",22,"Queens",184,
"Tremaine Wright",36,"Brooklyn",185,
"Robert P Capano",43,"Brooklyn",188,
"Kevin D Kim",19,"Bayside",189,
"Mark W Griffith",36,"Brooklyn",190,
"John L Heyer, II",39,"Brooklyn",191,
"Brad S Lander",39,"Brooklyn",192,
"David J Pechefsky",39,"Brooklyn",193,
"Karen Koslowitz",29,"Queens",195,
"Walter G  Nestler",18,"Bronx",196,
"Janine Materna",51,"Staten Island",202,
"Josh Skaller",39,"Brooklyn",208,
"Paul A Vallone ",19,"Queens",210,
"Brent M O'Leary",26,"Queens",212,
"S.J. Jung",20,"Queens",217,
"Frank P Gulluscio",32,"Queens",221,
"Bob Zuckerman",39,"Brooklyn",222,
"James M Wu",20,"Queens",223,
"Melissa Mark Viverito",8,"Manhattan",225,
"Evan R Thies",33,"Brooklyn",227,
"PJ Kim",1,"Manhattan",230,
"Eric A Ulrich",32,"Queens",232,
"Evergreen C Chou",20,"Queens",233,
"Gary G Reilly",39,"Brooklyn",234,
"Gale A Brewer",6,"Manhattan",236,
"Yetta G Kurland ",3,"Manhattan",239,
"Joseph A Nardiello",39,"Brooklyn",249,
"Jerry F Kann",22,"Queens",260,
"Scherie S Murray",31,"Queens",267,
"James M Pocchia",50,"Staten Island",270,
"Deirdre Feerick",26,"Queens",277,
"Regina Powell ",42,"Brooklyn",281,
"Victor A Bernace",7,"Manhattan",282,
"Helen Sears",25,"Queens",285,
"Rock H Hackshaw",40,"Queens",288,
"Carlos Sierra",16,"Bronx",290,
"Lynne Serpe",22,"Queens",291,
"Arthur Gregory ",1,"Manhattan",293,
"Kenneth Baer",33,"Brooklyn",296,
"Jumaane D Williams ",45,"Brooklyn",299,
"Peter A Koo",20,"Queens",301,
"Daryl Johnson",16,"Bronx",369,
"Alan J Gerson",1,"Manhattan",,
"Peter J Gleason",1,"Manhattan",,
"Dodge P Landesman",2,"Manhattan",,
"Juan Pagan",2,"Manhattan",,
"Jim Fouratt",3,"Manhattan",,
"Maria Passannante-Derr",3,"Manhattan",,
"Neal D'Alessio",4,"Manhattan",,
"Joseph J Selch",6,"Manhattan",,
"Juan A Erazo",7,"Manhattan",,
