name,office,districtnumber,transaltid
Frank Padavan,State Senate,11,459
Joseph Addabbo,State Senate,15,463
Velmanette Montgomery,State Senate,18,466
Kevin Parker,State Senate,21,469
Martin Golden,State Senate,22,471
Audrey Pheffer,State Assembly,23,472
Diane Savino,State Senate,23,473
Liz Krueger,State Senate,26,479
Barbara Clark,State Assembly,33,492
Jeffrey Klein,State Senate,34,495
James Brennan,State Assembly,44,504
Steven Cymbrowitz,State Assembly,45,505
Joseph Lentol,State Assembly,50,510
Felix Ortiz,State Assembly,51,511
Joan Millman,State Assembly,52,512
Robert Rodriguez,State Assembly,68,528
Jonathan Bing,State Assembly,73,532
Richard Gottfried,State Assembly,75,534
Jeffrey Dinowitz,State Assembly,81,538
Alvin Johnson,State Assembly,68,550
Mark Levine,State Senate,31,557
Paul Niehaus,State Assembly,73,558
Vincent Tabone,State Assembly,26,559
Julissa Gomez,State Assembly,72,561
Mike DiSanto,State Senate,22,562
Miosotis Munoz,State Senate,31,563
Harold Paez,State Senate,23,568
Aleksander Powietrzynski,State Assembly,28,571
Douglas Biviano,State Assembly,52,576
Gustavo Rivera,State Senate,33,583
Lynn Nunes 2,State Senate,10,605
Howie Hawkins,Governor,,658
Warren Redlich,Governor,,659
Dean Murray,State Assembly,3,694
Michael B. Kaplowitz,State Senate,40,794
