name,office,districtnumber,transaltid
Shirley Huntley,State Senate,10,458
Frank Padavan,State Senate,11,459
Michael Gianaris,State Senate,12,460
Jose Peralta,State Senate,13,461
Malcolm Smith,State Senate,14,462
Joseph Addabbo,State Senate,15,463
Toby Ann Stavisky,State Senate,16,464
Martin Malave Dilan,State Senate,17,465
Velmanette Montgomery,State Senate,18,466
John Sampson,State Senate,19,467
Eric Adams,State Senate,20,468
Kevin Parker,State Senate,21,469
Grace Meng,State Assembly,22,470
Martin Golden,State Senate,22,471
Audrey Pheffer,State Assembly,23,472
Diane Savino,State Senate,23,473
David Weprin,State Assembly,24,474
Andrew Lanza,State Senate,24,475
Rory Lancman,State Assembly,25,476
Daniel Squadron,State Senate,25,477
Ed Braunstein,State Assembly,26,478
Liz Krueger,State Senate,26,479
Nettie Mayersohn,State Assembly,27,480
Carl Kruger,State Senate,27,481
Andrew Hevesi,State Assembly,28,482
Jose Serrano,State Senate,28,483
William Scarborough,State Assembly,29,484
Thomas Duane,State Senate,29,485
Margaret Markey,State Assembly,30,486
Bill Perkins,State Senate,30,487
Michele Titus,State Assembly,31,488
Adriano Espaillat,State Senate,31,489
Vivian Cook,State Assembly,32,490
Ruben Diaz Sr,State Senate,32,491
Barbara Clark,State Assembly,33,492
Pedro Espada Jr,State Senate,33,493
Michael DenDekker,State Assembly,34,494
Jeffrey Klein,State Senate,34,495
Jeffrion Aubry,State Assembly,35,496
Aravella Simotas,State Assembly,36,497
Ruth Hassell-Thompson,State Senate,36,498
Catherine Nolan,State Assembly,37,499
Inez Barron,State Assembly,40,500
Helene Weinstein,State Assembly,41,501
Rhoda Jacobs,State Assembly,42,502
Karim Camara,State Assembly,43,503
James Brennan,State Assembly,44,504
Steven Cymbrowitz,State Assembly,45,505
Alec Brook-Krasny,State Assembly,46,506
William Colton,State Assembly,47,507
Dov Hikind,State Assembly,48,508
Peter Abbate Jr,State Assembly,49,509
Joseph Lentol,State Assembly,50,510
Felix Ortiz,State Assembly,51,511
Joan Millman,State Assembly,52,512
Vito Lopez,State Assembly,53,513
Darryl Towns,State Assembly,54,514
William Boyland Jr,State Assembly,55,515
Annette Robinson,State Assembly,56,516
Hakeem Jeffries,State Assembly,57,517
N Nick Perry,State Assembly,58,518
Alan Maisel,State Assembly,59,519
Janele Hyer-Spencer,State Assembly,60,520
Matthew Titone,State Assembly,61,521
Louis Tobacco,State Assembly,62,522
Michael Cusick,State Assembly,63,523
Sheldon Silver,State Assembly,64,524
Micah Kellner,State Assembly,65,525
Deborah Glick,State Assembly,66,526
Linda Rosenthal,State Assembly,67,527
Robert Rodriguez,State Assembly,68,528
Daniel ODonnell,State Assembly,69,529
Keith LT Wright,State Assembly,70,530
Herman Farrell Jr,State Assembly,71,531
Jonathan Bing,State Assembly,73,532
Brian Kavanagh,State Assembly,74,533
Richard Gottfried,State Assembly,75,534
Peter Rivera,State Assembly,76,535
Jose Rivera,State Assembly,78,536
Naomi Rivera,State Assembly,80,537
Jeffrey Dinowitz,State Assembly,81,538
Michael Benedetto,State Assembly,82,539
Carl Heastle,State Assembly,83,540
Nelson Castro,State Assembly,86,541
Nick Comaianni,State Assembly,38,542
Francisco Moya,State Assembly,39,543
Miguel Estrella,State Assembly,72,544
Vanessa Gibson,State Assembly,77,545
Eric Stevenson,State Assembly,79,546
Carmen Arroyo,State Assembly,84,547
Marcos Crespo,State Assembly,85,548
Luis Sepulveda,State Assembly,76,549
Alvin Johnson,State Assembly,68,550
Charlie Ramos,State Senate,32,551
Nicole Malliotakis,State Assembly,60,552
Gabriela Rosa,State Assembly,72,553
Anna Lewis,State Senate,31,554
Clyde Vanel,State Senate,33,555
Igor Oberman,State Senate,27,556
Mark Levine,State Senate,31,557
Paul Niehaus,State Assembly,73,558
Vincent Tabone,State Assembly,26,559
Evette Zayas,State Assembly,68,560
Julissa Gomez,State Assembly,72,561
Mike DiSanto,State Senate,22,562
Miosotis Munoz,State Senate,31,563
Pedro Monge,State Assembly,52,564
Ariel Ferreira,State Assembly,71,565
Robert Giuffre,State Assembly,80,566
Tony Avella,State Senate,11,567
Harold Paez,State Senate,23,568
Bob Friedrich,State Assembly,24,569
Joseph Fox,State Assembly,28,570
Aleksander Powietrzynski,State Assembly,28,571
Joseph Tiraco,State Assembly,28,572
Hiram Monserrate,State Assembly,39,574
Humberto Suarezmotta,State Assembly,39,575
Douglas Biviano,State Assembly,52,576
Marion Bell,State Assembly,68,577
Nelson Antonio Denis,State Assembly,72,578
Guillermo Linares,State Assembly,72,579
Wyatt Johnson,State Assembly,72,580
Hector Ramirez,State Assembly,86,581
Tony Nunziato,State Assembly,30,582
Gustavo Rivera,State Senate,33,583
Fernando Tirado,State Senate,33,584
Daniel Padernacht,State Senate,33,585
Crystal Wade,State Senate,36,586
Robert Diamond,State Senate,36,587
Frank Vernuccio,State Senate,34,589
Saul Farber,State Senate,26,590
Mark Pollard,State Senate,18,591
Jerome Patrick Tina Jr.,State Senate,12,592
Basil Smikle,State Senate,30,593
Bob Friedrich 2,State Assembly,24,603
John Ciafone,State Assembly,36,604
Lynn Nunes,State Senate,10,605
Alan Kesler,State Assembly,42,609
Michele Adolphe,State Assembly,42,610
John Jasilli,State Assembly,52,611
John Ruiz,State Assembly,68,612
Carlton Berkeley,State Assembly,68,613
Edward Gibbs,State Assembly,68,614
Felix Rosada,State Assembly,68,616
Beatrice Myles,State Assembly,68,617
Guillermo Philpotts,State Senate,20,618
Allan Romaguera,State Senate,20,619
Anthony Como,State Senate,15,620
Julio Munoz,State Assembly,80,621
Robert Goodman,State Assembly,80,622
Joseph DeLuna,State Assembly,80,623
Patrick McManus,State Assembly,83,624
Michael Walters,State Senate,32,625
Joseph Nardiello,State Senate,25,626
Daniel Russo,State Assembly,72,627
John Sullivan,State Senate,27,628
Glenda Allen,State Assembly,71,629
Rene Santos,State Assembly,86,630
Lisa Marie Campbell,State Assembly,86,631
John McCarthy,State Senate,33,632
Carmen Reyna,State Senate,33,633
Laquan Word,State Senate,18,634
Donal Yarbough,State Senate,30,635
Francesca Castellanos,State Senate,31,636
Stylo Sapaskis,State Senate,31,637
Raphael Klapper,State Senate,31,638
Gregg Lundahl,State Assembly,73,639
John Duane,State Assembly,26,640
Steven Behar,State Assembly,26,641
Elio Forcina,State Assembly,26,642
Robert Speranza,State Assembly,26,643
Yma Rodriguez,State Senate,28,644
Mark Escofferey Bay,State Senate,28,645
Mike Miller,State Assembly,38,646
Donna Marie Caltabiano,State Assembly,38,647
John Wilson,State Assembly,37,648
Deborah Benbow,State Assembly,79,649
Henry Bonet,State Assembly,79,650
Keesha Weiner,State Senate,28,651
Jon Girodes,State Senate,28,652
Steven Stern,State Assembly,76,653
Andre Soleil,State Assembly,50,654
Jacqueline Haro,State Assembly,50,655
Andrew Cuomo,Governor,,656
Rick Lazio,Governor,,657
Howie Hawkins,Governor,,658
Warren Redlich,Governor,,659
Carl Paladino,Governor,,660
Kristen Davis,Governor,,661
Ken Goeway,Governor,,662
Kenneth Schaeffer,Governor,,663
Jimmy McMillan,Governor,,664
Art Luse,Governor,,665
Ralph Lorigo,Governor,,666
Marc Alessi,State Assembly,1,690
Daniel P. Losquadro,State Assembly,1,691
Fred W. Thiele Jr.,State Assembly,2,692
Richard A. Blumenthal,State Assembly,2,693
Dean Murray,State Assembly,3,694
Robert T. Calarco,State Assembly,3,695
Steven Englebright,State Assembly,4,696
Deborah J. McKee,State Assembly,4,697
Ginny A. Fields,State Assembly,5,698
Kenneth J. Mangan,State Assembly,5,699
Alfred C. Graf,State Assembly,5,700
Mohsen A. Elsayed,State Assembly,6,701
Philip R. Ramos,State Assembly,6,702
Giovanni A. Mata,State Assembly,6,703
Richard S. Macellaro,State Assembly,7,704
Michael J. Fitzpatrick,State Assembly,7,705
Philip M. Boyle,State Assembly,8,706
Janice A. Sweet,State Assembly,8,707
Andrew P. Raia,State Assembly,9,708
James D. Conte,State Assembly,10,709
John Capobianco,State Assembly,10,710
Brett A. Robinson,State Assembly,11,711
Robert K. Sweeney,State Assembly,11,712
Joseph Saladino,State Assembly,12,713
Kevin Gorman,State Assembly,12,714
Charles Lavine,State Assembly,13,715
Robert A. Germino Jr.,State Assembly,13,716
Dermond Thomas,State Assembly,14,717
Brian Curran,State Assembly,14,718
Micahel Montesano,State Assembly,15,719
Michelle Schimel,State Assembly,16,720
Scott D. Diamond,State Assembly,16,721
Tom Devaney,State Assembly,17,722
Thomas McKevitt,State Assembly,17,723
Earlene Hooper,State Assembly,18,724
Jack Prophet,State Assembly,18,725
Derek L. Paree,State Assembly,18,726
David G McDonough,State Assembly,19,727
Harvey Weisenberg,State Assembly,20,728
Joshua S. Wanderer,State Assembly,20,729
Jeff Toback,State Assembly,20,730
Hemione Mimi Pierre-Johnson,State Assembly,21,731
Edward P. Ra,State Assembly,21,732
Patricia Friedman,State Assembly,21,733
J. Gary Pretlow,State Assembly,87,734
Samuel L Rivers,State Assembly,87,735
Amy R. Paulin,State Assembly,88,736
Rene Atayan,State Assembly,88,737
Mark S. Jaffee,State Assembly,89,738
Robert Castelli,State Assembly,89,739
Thomas M. Roach,State Assembly,89,740
Sandra R. Galef,State Assembly,90,741
William Gouldman,State Assembly,90,742
George Latimer,State Assembly,91,743
Bill Reed,State Assembly,91,744
Thomas J. Abinanti,State Assembly,92,745
Anna Sterne,State Assembly,92,746
Thomas J. Bock,State Assembly,92,747
Michael Spano,State Assembly,93,748
Mike Ramondelli,State Assembly,93,749
George Nieviarovski,State Assembly,93,750
Jodi A. Mosiello,State Assembly,93,751
Kenneth Zebrowski,State Assembly,94,752
Frank Sparaco,State Assembly,94,753
Ellen C. Jaffee,State Assembly,95,754
Thomas Morr,State Assembly,95,755
Nancy Calhoun,State Assembly,96,756
Roxanne L. Donnery,State Assembly,96,757
Myrna Kemnitz,State Assembly,97,758
Ann Rabbitt,State Assembly,97,759
Steve Katz,State Assembly,99,760
Jim Borkowski,State Assembly,99,761
Brendan J. Tully,State Assembly,99,762
Kenneth P. LaValle,State Senate,1,763
Regina Calcaterra,State Senate,1,764
John J. Flanagan,State Senate,2,765
Ira L. Bernstein,State Senate,2,766
Brian X. Foley,State Senate,3,767
Lee Zeldin,State Senate,3,768
Owen H. Johnson,State Senate,4,769
Maeghan H. Lollo,State Senate,4,770
Carl L. Marcellino,State Senate,5,771
Lawrence H. Silverman,State Senate,5,772
David Mejias,State Senate,6,773
Francesca Carlow,State Senate,6,774
Ethan Irwin,State Senate,6,775
Kemp Hannon,State Senate,6,776
Craig M. Johnson,State Senate,7,777
Jack Martins,State Senate,7,778
Charles J. Fuschillo Jr.,State Senate,8,779
Carol A. Gordon,State Senate,8,780
George Sava,State Senate,9,781
Dean G. Skelos,State Senate,9,782
Andrea Stewart-Cousins,State Senate,35,783
Liam McLaughlin,State Senate,35,784
Suzi Oppenheimer,State Senate,37,785
Bob Cohen,State Senate,37,786
C. Scott Vanderhoef,State Senate,38,787
Grant Valentine,State Senate,38,788
David Carlucci,State Senate,38,789
William J. Larkin Jr.,State Senate,39,790
Harley E. Doles III,State Senate,39,791
Mary Beth Murphy,State Senate,40,792
Greg Ball,State Senate,40,793
Michael B. Kaplowitz,State Senate,40,794
John E. brooks,State Assembly,19,817
Patrick Nicolosi,State Assembly,21,818
Christopher Dempsey,State Assembly,9,819
John Reynolds,State Senate,33,831
